Đường Một Chiều - Huỳnh Tú ft. Magazine || Official Music Video,https://youtube.com/watch?v=W6hxiDmMGSE&list=RDMM&index=8,"5,89 MB",1,0,2023-05-09,"[{""resolution"": ""1080p60 (.mp4) full-HD"", ""fileSize"": ""64,06 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[1]/td[3]/button""}, {""resolution"": ""720p (.mp4) m-HD"", ""fileSize"": ""33,83 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[2]/td[3]/button""}, {""resolution"": ""480p (.mp4)"", ""fileSize"": ""10,79 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[3]/td[3]/button""}, {""resolution"": ""360p (.mp4)"", ""fileSize"": ""13,35 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[4]/td[3]/button""}, {""resolution"": ""240p (.mp4)"", ""fileSize"": ""7,28 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[5]/td[3]/button""}, {""resolution"": ""144p (.mp4)"", ""fileSize"": ""5,89 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[6]/td[3]/button""}, {""resolution"": ""144p (.3gp)"", ""fileSize"": ""5,89 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[7]/td[3]/button""}]",[],00:04:50,144p (.mp4),"//*[@id=""moretab""]/tr[6]/td[3]/button",,https://youtubezz.com/watch?v=W6hxiDmMGSE&list=RDMM&index=8,Đường_Một_Chiều_-_Huỳnh_Tú_ft._Magazine____Official_Music_Video(144p (.mp4))
Như Ngày Đó - Binz ft. Khói & It's Lee (Lyric Video) | tas release,https://www.youtube.com/watch?v=LxaU644C3is&list=RDMM&index=5,38.29 MB,1,0,2023-05-09,"[{""resolution"": ""1080p (.mp4) full-HD"", ""fileSize"": ""61.20 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[1]/td[3]/button""}, {""resolution"": ""720p (.mp4) m-HD"", ""fileSize"": ""38.29 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[2]/td[3]/button""}, {""resolution"": ""480p (.mp4)"", ""fileSize"": ""18.79 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[3]/td[3]/button""}, {""resolution"": ""360p (.mp4)"", ""fileSize"": ""24.21 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[4]/td[3]/button""}, {""resolution"": ""240p (.mp4)"", ""fileSize"": ""6.77 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[5]/td[3]/button""}, {""resolution"": ""144p (.mp4)"", ""fileSize"": ""5.59 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[6]/td[3]/button""}, {""resolution"": ""144p (.3gp)"", ""fileSize"": ""5.59 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[7]/td[3]/button""}]",[],00:04:27,720p (.mp4) m-HD,"//*[@id=""moretab""]/tr[2]/td[3]/button",,https://www.youtubezz.com/watch?v=LxaU644C3is&list=RDMM&index=5,Như_Ngày_Đó_-_Binz_ft._Khói___It_s_Lee__Lyric_Video____tas_release(720p (.mp4) m-HD).mp4
Ngọt - Mèo Hoang (bản CNGDC),https://www.y2meta.com/en/youtube/ISK0p7-CUw0,11.12 MB,0,0,2023-05-09,"[{""resolution"": ""720p (.mp4) m-HD"", ""fileSize"": ""11.12 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[1]/td[3]/button""}, {""resolution"": ""480p (.mp4)"", ""fileSize"": ""5.84 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[2]/td[3]/button""}, {""resolution"": ""360p (.mp4)"", ""fileSize"": ""10.08 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[3]/td[3]/button""}, {""resolution"": ""240p (.mp4)"", ""fileSize"": ""5.12 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[4]/td[3]/button""}, {""resolution"": ""144p (.mp4)"", ""fileSize"": ""4.96 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[5]/td[3]/button""}, {""resolution"": ""144p (.3gp)"", ""fileSize"": ""4.96 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[6]/td[3]/button""}]",[],00:05:02,720p (.mp4) m-HD,"//*[@id=""moretab""]/tr[1]/td[3]/button",,https://www.y2meta.com/en/youtube/ISK0p7-CUw0,
Ngọt - Bartender (bản CNGDC),https://www.y2meta.com/en/youtube/HD52peTkszQ,10.42 MB,0,0,2023-05-09,"[{""resolution"": ""720p (.mp4) m-HD"", ""fileSize"": ""10.42 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[1]/td[3]/button""}, {""resolution"": ""480p (.mp4)"", ""fileSize"": ""5.47 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[2]/td[3]/button""}, {""resolution"": ""360p (.mp4)"", ""fileSize"": ""9.43 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[3]/td[3]/button""}, {""resolution"": ""240p (.mp4)"", ""fileSize"": ""4.80 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[4]/td[3]/button""}, {""resolution"": ""144p (.mp4)"", ""fileSize"": ""4.65 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[5]/td[3]/button""}, {""resolution"": ""144p (.3gp)"", ""fileSize"": ""4.65 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[6]/td[3]/button""}]",[],00:04:43,720p (.mp4) m-HD,"//*[@id=""moretab""]/tr[1]/td[3]/button",,https://www.y2meta.com/en/youtube/HD52peTkszQ,
Ngọt - Kẻ Thù (bản CNGDC),https://www.y2meta.com/en/youtube/ZUpL9MIz5Io,10.20 MB,0,0,2023-05-09,"[{""resolution"": ""720p (.mp4) m-HD"", ""fileSize"": ""10.20 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[1]/td[3]/button""}, {""resolution"": ""480p (.mp4)"", ""fileSize"": ""5.36 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[2]/td[3]/button""}, {""resolution"": ""360p (.mp4)"", ""fileSize"": ""9.23 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[3]/td[3]/button""}, {""resolution"": ""240p (.mp4)"", ""fileSize"": ""4.70 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[4]/td[3]/button""}, {""resolution"": ""144p (.mp4)"", ""fileSize"": ""4.55 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[5]/td[3]/button""}, {""resolution"": ""144p (.3gp)"", ""fileSize"": ""4.55 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[6]/td[3]/button""}]",[],00:04:37,720p (.mp4) m-HD,"//*[@id=""moretab""]/tr[1]/td[3]/button",,https://www.y2meta.com/en/youtube/ZUpL9MIz5Io,
Ngọt - Em Dạo Này (bản CNGDC),https://www.y2meta.com/en/youtube/BwuLJf9gHSo,8.22 MB,0,0,2023-05-09,"[{""resolution"": ""720p (.mp4) m-HD"", ""fileSize"": ""8.22 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[1]/td[3]/button""}, {""resolution"": ""480p (.mp4)"", ""fileSize"": ""4.12 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[2]/td[3]/button""}, {""resolution"": ""360p (.mp4)"", ""fileSize"": ""7.17 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[3]/td[3]/button""}, {""resolution"": ""240p (.mp4)"", ""fileSize"": ""3.68 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[4]/td[3]/button""}, {""resolution"": ""144p (.mp4)"", ""fileSize"": ""3.57 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[5]/td[3]/button""}, {""resolution"": ""144p (.3gp)"", ""fileSize"": ""3.57 MB"", ""download"": ""//*[@id=\""moretab\""]/tr[6]/td[3]/button""}]",[],00:03:36,720p (.mp4) m-HD,"//*[@id=""moretab""]/tr[1]/td[3]/button",,https://www.y2meta.com/en/youtube/BwuLJf9gHSo,
